title,authors,paper_url,github_url,github_stars,published_date,source_url,source
Sequential Beats Joint: On the Interplay between On-Policy Distillation and RLVR,Boyan Li; Bingsen Chen; Chenghao Yang; Ping Nie; Chen Zhao; Xi Ye,http://arxiv.org/abs/2609.04108v1,,,2026-09-03T17:14:27Z,http://arxiv.org/abs/2609.04108v1,arXiv
Why Gated DeltaNet Survives 4-Bit Quantization: NVFP4 W4A4 for the Recurrent Half of a Hybrid 27B LLM,Sergii Kozyrev; Davyd Maiboroda,http://arxiv.org/abs/2609.04098v1,,,2026-09-03T17:04:26Z,http://arxiv.org/abs/2609.04098v1,arXiv
Adaptive Vision-Language Grasping via Composable Foundation Priors and Generalizable Grasp Synthesis,Sixu Yan; Shikang Wang; Binhua Huang; Xuanlai Tang; Guohua Fan; Fan Huang; Haoxuan Li; Yongkang Li; Yuhan Li; Bencheng Liao; Zeyu Zhang; Wenyu Liu; Hangxin Liu; Xinggang Wang,http://arxiv.org/abs/2609.04096v1,,,2026-09-03T17:03:11Z,http://arxiv.org/abs/2609.04096v1,arXiv
DRACO: Fine-Grained Credit Assignment with Dynamic Rubrics for Long-Horizon Agent Training,Shubham Gandhi; Saurabh Goyal; Kiran Kate; Yara Rizk,http://arxiv.org/abs/2609.04094v1,,,2026-09-03T17:02:20Z,http://arxiv.org/abs/2609.04094v1,arXiv
A Non-Formulable Theorem: A Fundamental Limit of Finite Syntactic Systems and Its Consequences for Security and AI,Fabio F. G. Buono,http://arxiv.org/abs/2609.04086v1,,,2026-09-03T16:53:22Z,http://arxiv.org/abs/2609.04086v1,arXiv
CORE: Improving Compositional Reasoning in MLLM Embedding via Reranker Distillation,Tingyu Song; Mingxin Li; Yanzhao Zhang; Dingkun Long; Chu Liu; Pengjun Xie; Yilun Zhao; Shu Wu,http://arxiv.org/abs/2609.04083v1,,,2026-09-03T16:50:29Z,http://arxiv.org/abs/2609.04083v1,arXiv
PatchBench: Evaluating AI Agents for Vulnerability Patching,Chihao Shen; Jiacheng Li; Aastha Mahajan; Jeffery Siyuan Tian; Yonghwi Kwon; Yizheng Chen,http://arxiv.org/abs/2609.04075v1,,,2026-09-03T16:44:22Z,http://arxiv.org/abs/2609.04075v1,arXiv
TAP-Path: Task-Adaptive Structural and Token Pruning for Efficient and Trustworthy Pathology Foundation Models,Mehedi Hasan; Ashfak Yeafi; Md Khairul Islam,http://arxiv.org/abs/2609.04071v1,,,2026-09-03T16:43:36Z,http://arxiv.org/abs/2609.04071v1,arXiv
Subspace Inference Enables Efficient Active Reward Learning from Preferences,Yutai Zhou; Erdem Bıyık,http://arxiv.org/abs/2609.04066v1,,,2026-09-03T16:39:55Z,http://arxiv.org/abs/2609.04066v1,arXiv
Spurious Advantage Hidden in GRPO,Jiamian Wang; Samyadeep Basu; Koustava Goswami; Tong Yu; Zhiqiang Tao,http://arxiv.org/abs/2609.04063v1,,,2026-09-03T16:37:31Z,http://arxiv.org/abs/2609.04063v1,arXiv
When Models Edit Too Much: On the Fidelity of Minimal Code Edits,Tongyao Zhu; Wei Hern Lim; Min-Yen Kan,http://arxiv.org/abs/2609.04061v1,,,2026-09-03T16:36:05Z,http://arxiv.org/abs/2609.04061v1,arXiv
Translation as a Decision Space: A Multi-Agent Perspective on Low-Resource Dialect Generation,Hasan Alkhder; Mohammad Abboush; Igor Tchappi; Ahmet Zengin; Amro Najjar,http://arxiv.org/abs/2609.04048v1,,,2026-09-03T16:22:18Z,http://arxiv.org/abs/2609.04048v1,arXiv
